证券代码,日期,收入熵指标
#002664,2017,
#002666,2012,3.5341857752398593
#002666,2013,3.6805469490647815
#002666,2014,
#002674,2012,3.744818275121617
#002674,2013,3.745828496908506
#002674,2014,
#002674,2015,3.2406436651073363
#002674,2016,3.2390371200210963
#002674,2017,
#002677,2012,3.5869695724042883
#002677,2013,3.5893163170794806
#002677,2014,
#002684,2012,3.751744289045018
#002684,2013,3.6869818764897575
#002684,2014,
#002685,2012,3.041564720703992
#002685,2013,3.754297554095043
#002685,2014,
#002688,2012,3.7079629743857145
#002688,2013,3.707399743102085
#002688,2014,
#002688,2015,
#002693,2012,3.852934561395539
#002693,2013,3.8522024932971255
#002693,2014,
#002693,2015,
#002693,2016,3.1961171562977655
#002693,2017,
#002694,2012,3.727890094349662
#002694,2013,3.725103453569704
#002694,2014,
#002694,2015,3.234401738207554
#002695,2012,3.813737357180948
#002695,2013,3.809173289662968
#002695,2014,
#002695,2015,3.012714017785523
#002695,2016,3.005926435024971
#002695,2017,
#002697,2012,3.8001702822093817
#002697,2013,3.8094988062266633
#002697,2014,
#002697,2015,3.337373211915997
#002697,2016,3.235077274697947
#002697,2017,
#002701,2013,3.462658361091709
#002701,2014,
#002701,2015,3.375583891758825
#002701,2016,
#002701,2017,
#002703,2012,2.8005789409746917
#002703,2013,2.9222995241514718
#002703,2014,
#002703,2015,2.6070555366177595
#002703,2016,2.585108234053713
#002703,2017,
#002708,2014,
#002708,2017,
#002725,2013,3.5987365959629094
#002725,2014,
#002725,2015,3.0551922135406455
#002726,2014,
#002728,2015,
#002729,2014,
#002729,2015,3.2078177404371355
#002729,2016,3.155145430967821
#002729,2017,
#002730,2014,
#002730,2015,
#002730,2016,
#002730,2017,
#002731,2014,
#002731,2015,3.2854271029144684
#002749,2015,3.3240588581026174
#002749,2016,3.321137071460073
#002749,2017,
#002750,2017,
#002765,2015,3.232808015727516
#002765,2016,
#002765,2017,
#002767,2016,3.028016317997971
#002767,2017,
#002773,2015,
#002773,2016,3.327869053172061
#002773,2017,
#002776,2015,2.992392403744933
#002776,2016,
#002776,2017,
#002781,2015,3.5760253422752415
#002781,2016,
#002781,2017,
#002782,2015,3.120439674160567
#002782,2016,3.1277844409367086
#002782,2017,
#002787,2016,3.2280221658701023
#002787,2017,
#002789,2017,
#002793,2016,3.123046307811719
#002793,2017,
#002801,2016,3.0825300900480306
#002801,2017,
#002817,2016,2.7153839353001348
#002817,2017,
#002842,2016,
#002842,2017,
#200168,2012,2.813380949389861
#200168,2013,2.8648738824327875
#200168,2014,
#300004,2009,3.4168769596992545
#300004,2010,3.5390979181383413
#300004,2011,3.5994879668713637
#300012,2011,3.6496543128768035
#300012,2012,3.6339368698097245
